"metropolitan_area","rate","rank"
"Bismarck, ND Metropolitan Statistical Area",2.8,1
"Fargo, ND-MN Metropolitan Statistical Area",3.2,2
"Sioux Falls, SD Metropolitan Statistical Area",3.2,2
"Ames, IA Metropolitan Statistical Area",3.3,4
"Iowa City, IA Metropolitan Statistical Area",3.5,5
"Lincoln, NE Metropolitan Statistical Area",3.5,5
"Burlington-South Burlington, VT Metropolitan NECTA",3.6,7
"Grand Island, NE Metropolitan Statistical Area",3.7,8
"Midland, TX Metropolitan Statistical Area",3.7,8
"Grand Forks, ND-MN Metropolitan Statistical Area",3.8,10
"Rapid City, SD Metropolitan Statistical Area",3.9,11
"Logan, UT-ID Metropolitan Statistical Area",4,12
"Mankato-North Mankato, MN Metropolitan Statistical Area",4,12
"Enid, OK Metropolitan Statistical Area",4.1,14
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",4.1,14
"Rochester, MN Metropolitan Statistical Area",4.2,16
"Billings, MT Metropolitan Statistical Area",4.3,17
"Manhattan, KS Metropolitan Statistical Area",4.3,17
"Odessa, TX Metropolitan Statistical Area",4.3,17
"Provo-Orem, UT Metropolitan Statistical Area",4.3,17
"Salt Lake City, UT Metropolitan Statistical Area",4.4,21
"Urban Honolulu, HI Metropolitan Statistical Area",4.4,21
"Casper, WY Metropolitan Statistical Area",4.5,23
"Columbia, MO Metropolitan Statistical Area",4.5,23
"Dubuque, IA Metropolitan Statistical Area",4.5,23
"Amarillo, TX Metropolitan Statistical Area",4.6,26
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",4.6,26
"Oklahoma City, OK Metropolitan Statistical Area",4.6,26
"Sioux City, IA-NE-SD Metropolitan Statistical Area",4.6,26
"Ogden-Clearfield, UT Metropolitan Statistical Area",4.7,30
"Cheyenne, WY Metropolitan Statistical Area",4.8,31
"Lawrence, KS Metropolitan Statistical Area",4.8,31
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4.8,31
"Portsmouth, NH-ME Metropolitan NECTA",4.8,31
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.9,35
"Cedar Rapids, IA Metropolitan Statistical Area",5,36
"Charlottesville, VA Metropolitan Statistical Area",5,36
"Dover-Durham, NH-ME Metropolitan NECTA",5,36
"Houma-Thibodaux, LA Metropolitan Statistical Area",5,36
"Lubbock, TX Metropolitan Statistical Area",5,36
"Madison, WI Metropolitan Statistical Area",5,36
"Morgantown, WV Metropolitan Statistical Area",5,36
"College Station-Bryan, TX Metropolitan Statistical Area",5.1,43
"Great Falls, MT Metropolitan Statistical Area",5.1,43
"Manchester, NH Metropolitan NECTA",5.1,43
"St. Cloud, MN Metropolitan Statistical Area",5.1,43
"San Angelo, TX Metropolitan Statistical Area",5.1,43
"Austin-Round Rock, TX Metropolitan Statistical Area",5.2,48
"Ithaca, NY Metropolitan Statistical Area",5.2,48
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",5.2,48
"Missoula, MT Metropolitan Statistical Area",5.2,48
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",5.3,52
"State College, PA Metropolitan Statistical Area",5.3,52
"Tulsa, OK Metropolitan Statistical Area",5.3,52
"Victoria, TX Metropolitan Statistical Area",5.3,52
"Abilene, TX Metropolitan Statistical Area",5.4,56
"Idaho Falls, ID Metropolitan Statistical Area",5.4,56
"Lafayette, LA Metropolitan Statistical Area",5.4,56
"Boulder, CO Metropolitan Statistical Area",5.5,59
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",5.5,59
"Jefferson City, MO Metropolitan Statistical Area",5.5,59
"Lewiston, ID-WA Metropolitan Statistical Area",5.5,59
"Portland-South Portland, ME Metropolitan NECTA",5.5,59
"St. George, UT Metropolitan Statistical Area",5.5,59
"Staunton-Waynesboro, VA Metropolitan Statistical Area",5.5,59
"Santa Fe, NM Metropolitan Statistical Area",5.6,66
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.6,66
"Winchester, VA-WV Metropolitan Statistical Area",5.6,66
"Corvallis, OR Metropolitan Statistical Area",5.7,69
"Harrisonburg, VA Metropolitan Statistical Area",5.7,69
"Ann Arbor, MI Metropolitan Statistical Area",5.8,71
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",5.8,71
"Fort Collins, CO Metropolitan Statistical Area",5.8,71
"Gainesville, FL Metropolitan Statistical Area",5.8,71
"Lawton, OK Metropolitan Statistical Area",5.8,71
"Pocatello, ID Metropolitan Statistical Area",5.8,71
"Roanoke, VA Metropolitan Statistical Area",5.8,71
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",5.8,71
"Springfield, MO Metropolitan Statistical Area",5.8,71
"Topeka, KS Metropolitan Statistical Area",5.8,71
"Wichita Falls, TX Metropolitan Statistical Area",5.8,71
"Anchorage, AK Metropolitan Statistical Area",5.9,82
"Appleton, WI Metropolitan Statistical Area",5.9,82
"Auburn-Opelika, AL Metropolitan Statistical Area",5.9,82
"Boise City, ID Metropolitan Statistical Area",5.9,82
"Fairbanks, AK Metropolitan Statistical Area",5.9,82
"Gettysburg, PA Metropolitan Statistical Area",5.9,82
"Joplin, MO Metropolitan Statistical Area",5.9,82
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.9,82
"California-Lexington Park, MD Metropolitan Statistical Area",6,90
"Columbus, IN Metropolitan Statistical Area",6,90
"Eau Claire, WI Metropolitan Statistical Area",6,90
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",6,90
"Lancaster, PA Metropolitan Statistical Area",6,90
