DATE,recession,recession_6,recession_9,recession_12
1/1/1948,0,0,0,0
2/1/1948,0,0,0,0
3/1/1948,0,0,0,0
4/1/1948,0,0,0,0
5/1/1948,0,0,0,0
6/1/1948,0,0,0,0
7/1/1948,0,0,0,0
8/1/1948,0,0,0,0
9/1/1948,0,0,0,0
10/1/1948,0,0,0,0
11/1/1948,0,0,0,0
12/1/1948,1,0,0,0
1/1/1949,1,0,0,0
2/1/1949,1,0,0,0
3/1/1949,1,0,0,0
4/1/1949,1,0,0,0
5/1/1949,1,0,0,0
6/1/1949,1,1,0,0
7/1/1949,1,1,0,0
8/1/1949,1,1,0,0
9/1/1949,1,1,1,0
10/1/1949,1,1,1,0
11/1/1949,0,1,1,0
12/1/1949,0,1,1,1
1/1/1950,0,1,1,1
2/1/1950,0,1,1,1
3/1/1950,0,1,1,1
4/1/1950,0,1,1,1
5/1/1950,0,0,1,1
6/1/1950,0,0,1,1
7/1/1950,0,0,1,1
8/1/1950,0,0,0,1
9/1/1950,0,0,0,1
10/1/1950,0,0,0,1
11/1/1950,0,0,0,0
12/1/1950,0,0,0,0
1/1/1951,0,0,0,0
2/1/1951,0,0,0,0
3/1/1951,0,0,0,0
4/1/1951,0,0,0,0
5/1/1951,0,0,0,0
6/1/1951,0,0,0,0
7/1/1951,0,0,0,0
8/1/1951,0,0,0,0
9/1/1951,0,0,0,0
10/1/1951,0,0,0,0
11/1/1951,0,0,0,0
12/1/1951,0,0,0,0
1/1/1952,0,0,0,0
2/1/1952,0,0,0,0
3/1/1952,0,0,0,0
4/1/1952,0,0,0,0
5/1/1952,0,0,0,0
6/1/1952,0,0,0,0
7/1/1952,0,0,0,0
8/1/1952,0,0,0,0
9/1/1952,0,0,0,0
10/1/1952,0,0,0,0
11/1/1952,0,0,0,0
12/1/1952,0,0,0,0
1/1/1953,0,0,0,0
2/1/1953,0,0,0,0
3/1/1953,0,0,0,0
4/1/1953,0,0,0,0
5/1/1953,0,0,0,0
6/1/1953,0,0,0,0
7/1/1953,0,0,0,0
8/1/1953,1,0,0,0
9/1/1953,1,0,0,0
10/1/1953,1,0,0,0
11/1/1953,1,0,0,0
12/1/1953,1,0,0,0
1/1/1954,1,0,0,0
2/1/1954,1,1,0,0
3/1/1954,1,1,0,0
4/1/1954,1,1,0,0
5/1/1954,1,1,1,0
6/1/1954,0,1,1,0
7/1/1954,0,1,1,0
8/1/1954,0,1,1,1
9/1/1954,0,1,1,1
10/1/1954,0,1,1,1
11/1/1954,0,1,1,1
12/1/1954,0,0,1,1
1/1/1955,0,0,1,1
2/1/1955,0,0,1,1
3/1/1955,0,0,0,1
4/1/1955,0,0,0,1
5/1/1955,0,0,0,1
6/1/1955,0,0,0,0
7/1/1955,0,0,0,0
8/1/1955,0,0,0,0
9/1/1955,0,0,0,0
10/1/1955,0,0,0,0
11/1/1955,0,0,0,0
12/1/1955,0,0,0,0
1/1/1956,0,0,0,0
2/1/1956,0,0,0,0
3/1/1956,0,0,0,0
4/1/1956,0,0,0,0
5/1/1956,0,0,0,0
6/1/1956,0,0,0,0
7/1/1956,0,0,0,0
8/1/1956,0,0,0,0
9/1/1956,0,0,0,0
10/1/1956,0,0,0,0
11/1/1956,0,0,0,0
12/1/1956,0,0,0,0
1/1/1957,0,0,0,0
2/1/1957,0,0,0,0
3/1/1957,0,0,0,0
4/1/1957,0,0,0,0
5/1/1957,0,0,0,0
6/1/1957,0,0,0,0
7/1/1957,0,0,0,0
8/1/1957,0,0,0,0
9/1/1957,1,0,0,0
10/1/1957,1,0,0,0
11/1/1957,1,0,0,0
12/1/1957,1,0,0,0
1/1/1958,1,0,0,0
2/1/1958,1,0,0,0
3/1/1958,1,1,0,0
4/1/1958,1,1,0,0
5/1/1958,0,1,0,0
6/1/1958,0,1,1,0
7/1/1958,0,1,1,0
8/1/1958,0,1,1,0
9/1/1958,0,1,1,1
10/1/1958,0,1,1,1
11/1/1958,0,0,1,1
12/1/1958,0,0,1,1
1/1/1959,0,0,1,1
2/1/1959,0,0,0,1
3/1/1959,0,0,0,1
4/1/1959,0,0,0,1
5/1/1959,0,0,0,0
6/1/1959,0,0,0,0
7/1/1959,0,0,0,0
8/1/1959,0,0,0,0
9/1/1959,0,0,0,0
10/1/1959,0,0,0,0
11/1/1959,0,0,0,0
12/1/1959,0,0,0,0
1/1/1960,0,0,0,0
2/1/1960,0,0,0,0
3/1/1960,0,0,0,0
4/1/1960,0,0,0,0
5/1/1960,1,0,0,0
6/1/1960,1,0,0,0
7/1/1960,1,0,0,0
8/1/1960,1,0,0,0
9/1/1960,1,0,0,0
10/1/1960,1,0,0,0
11/1/1960,1,1,0,0
12/1/1960,1,1,0,0
1/1/1961,1,1,0,0
2/1/1961,1,1,1,0
3/1/1961,0,1,1,0
4/1/1961,0,1,1,0
5/1/1961,0,1,1,1
6/1/1961,0,1,1,1
7/1/1961,0,1,1,1
8/1/1961,0,1,1,1
9/1/1961,0,0,1,1
10/1/1961,0,0,1,1
11/1/1961,0,0,1,1
12/1/1961,0,0,0,1
1/1/1962,0,0,0,1
2/1/1962,0,0,0,1
3/1/1962,0,0,0,0
4/1/1962,0,0,0,0
5/1/1962,0,0,0,0
6/1/1962,0,0,0,0
7/1/1962,0,0,0,0
8/1/1962,0,0,0,0
9/1/1962,0,0,0,0
10/1/1962,0,0,0,0
11/1/1962,0,0,0,0
12/1/1962,0,0,0,0
1/1/1963,0,0,0,0
2/1/1963,0,0,0,0
