"DATE","INDPRO","CIVPART","CPIAUCSL","PAYEMS","PSAVERT"
"1919-01-01","5.0124",NA,NA,NA,NA
"1919-02-01","4.7908",NA,NA,NA,NA
"1919-03-01","4.6523",NA,NA,NA,NA
"1919-04-01","4.7354",NA,NA,NA,NA
"1919-05-01","4.7631",NA,NA,NA,NA
"1919-06-01","5.0677",NA,NA,NA,NA
"1919-07-01","5.3724",NA,NA,NA,NA
"1919-08-01","5.4554",NA,NA,NA,NA
"1919-09-01","5.3447",NA,NA,NA,NA
"1919-10-01","5.2893",NA,NA,NA,NA
"1919-11-01","5.2062",NA,NA,NA,NA
"1919-12-01","5.2893",NA,NA,NA,NA
"1920-01-01","5.7877",NA,NA,NA,NA
"1920-02-01","5.7877",NA,NA,NA,NA
"1920-03-01","5.677",NA,NA,NA,NA
"1920-04-01","5.3724",NA,NA,NA,NA
"1920-05-01","5.5108",NA,NA,NA,NA
"1920-06-01","5.5662",NA,NA,NA,NA
"1920-07-01","5.4277",NA,NA,NA,NA
"1920-08-01","5.4554",NA,NA,NA,NA
"1920-09-01","5.2616",NA,NA,NA,NA
"1920-10-01","5.04",NA,NA,NA,NA
"1920-11-01","4.6247",NA,NA,NA,NA
"1920-12-01","4.3477",NA,NA,NA,NA
"1921-01-01","4.0985",NA,NA,NA,NA
"1921-02-01","4.0154",NA,NA,NA,NA
"1921-03-01","3.9046",NA,NA,NA,NA
"1921-04-01","3.9046",NA,NA,NA,NA
"1921-05-01","4.0154",NA,NA,NA,NA
"1921-06-01","3.9877",NA,NA,NA,NA
"1921-07-01","3.96",NA,NA,NA,NA
"1921-08-01","4.0985",NA,NA,NA,NA
"1921-09-01","4.1262",NA,NA,NA,NA
"1921-10-01","4.3754",NA,NA,NA,NA
"1921-11-01","4.32",NA,NA,NA,NA
"1921-12-01","4.2923",NA,NA,NA,NA
"1922-01-01","4.4585",NA,NA,NA,NA
"1922-02-01","4.6524",NA,NA,NA,NA
"1922-03-01","4.9016",NA,NA,NA,NA
"1922-04-01","4.7354",NA,NA,NA,NA
"1922-05-01","4.9847",NA,NA,NA,NA
"1922-06-01","5.2339",NA,NA,NA,NA
"1922-07-01","5.2339",NA,NA,NA,NA
"1922-08-01","5.1231",NA,NA,NA,NA
"1922-09-01","5.4",NA,NA,NA,NA
"1922-10-01","5.7047",NA,NA,NA,NA
"1922-11-01","5.9539",NA,NA,NA,NA
"1922-12-01","6.1201",NA,NA,NA,NA
"1923-01-01","5.9816",NA,NA,NA,NA
"1923-02-01","6.0647",NA,NA,NA,NA
"1923-03-01","6.2585",NA,NA,NA,NA
"1923-04-01","6.397",NA,NA,NA,NA
"1923-05-01","6.4801",NA,NA,NA,NA
"1923-06-01","6.4247",NA,NA,NA,NA
"1923-07-01","6.3693",NA,NA,NA,NA
"1923-08-01","6.2585",NA,NA,NA,NA
"1923-09-01","6.1201",NA,NA,NA,NA
"1923-10-01","6.0924",NA,NA,NA,NA
"1923-11-01","6.0924",NA,NA,NA,NA
"1923-12-01","5.9539",NA,NA,NA,NA
"1924-01-01","6.0924",NA,NA,NA,NA
"1924-02-01","6.2031",NA,NA,NA,NA
"1924-03-01","6.0924",NA,NA,NA,NA
