"metropolitan_area","rate","rank","year"
"Bismarck, ND Metropolitan Statistical Area",2.8,1,"2013"
"Fargo, ND-MN Metropolitan Statistical Area",3.2,2,"2013"
"Sioux Falls, SD Metropolitan Statistical Area",3.2,2,"2013"
"Ames, IA Metropolitan Statistical Area",3.3,4,"2013"
"Iowa City, IA Metropolitan Statistical Area",3.5,5,"2013"
"Lincoln, NE Metropolitan Statistical Area",3.5,5,"2013"
"Burlington-South Burlington, VT Metropolitan NECTA",3.6,7,"2013"
"Grand Island, NE Metropolitan Statistical Area",3.7,8,"2013"
"Midland, TX Metropolitan Statistical Area",3.7,8,"2013"
"Grand Forks, ND-MN Metropolitan Statistical Area",3.8,10,"2013"
"Rapid City, SD Metropolitan Statistical Area",3.9,11,"2013"
"Logan, UT-ID Metropolitan Statistical Area",4,12,"2013"
"Mankato-North Mankato, MN Metropolitan Statistical Area",4,12,"2013"
"Enid, OK Metropolitan Statistical Area",4.1,14,"2013"
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",4.1,14,"2013"
"Rochester, MN Metropolitan Statistical Area",4.2,16,"2013"
"Billings, MT Metropolitan Statistical Area",4.3,17,"2013"
"Manhattan, KS Metropolitan Statistical Area",4.3,17,"2013"
"Odessa, TX Metropolitan Statistical Area",4.3,17,"2013"
"Provo-Orem, UT Metropolitan Statistical Area",4.3,17,"2013"
"Salt Lake City, UT Metropolitan Statistical Area",4.4,21,"2013"
"Urban Honolulu, HI Metropolitan Statistical Area",4.4,21,"2013"
"Casper, WY Metropolitan Statistical Area",4.5,23,"2013"
"Columbia, MO Metropolitan Statistical Area",4.5,23,"2013"
"Dubuque, IA Metropolitan Statistical Area",4.5,23,"2013"
"Amarillo, TX Metropolitan Statistical Area",4.6,26,"2013"
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",4.6,26,"2013"
"Oklahoma City, OK Metropolitan Statistical Area",4.6,26,"2013"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",4.6,26,"2013"
"Ogden-Clearfield, UT Metropolitan Statistical Area",4.7,30,"2013"
"Cheyenne, WY Metropolitan Statistical Area",4.8,31,"2013"
"Lawrence, KS Metropolitan Statistical Area",4.8,31,"2013"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4.8,31,"2013"
"Portsmouth, NH-ME Metropolitan NECTA",4.8,31,"2013"
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",4.9,35,"2013"
"Cedar Rapids, IA Metropolitan Statistical Area",5,36,"2013"
"Charlottesville, VA Metropolitan Statistical Area",5,36,"2013"
"Dover-Durham, NH-ME Metropolitan NECTA",5,36,"2013"
"Houma-Thibodaux, LA Metropolitan Statistical Area",5,36,"2013"
"Lubbock, TX Metropolitan Statistical Area",5,36,"2013"
"Madison, WI Metropolitan Statistical Area",5,36,"2013"
"Morgantown, WV Metropolitan Statistical Area",5,36,"2013"
"College Station-Bryan, TX Metropolitan Statistical Area",5.1,43,"2013"
"Great Falls, MT Metropolitan Statistical Area",5.1,43,"2013"
"Manchester, NH Metropolitan NECTA",5.1,43,"2013"
"St. Cloud, MN Metropolitan Statistical Area",5.1,43,"2013"
"San Angelo, TX Metropolitan Statistical Area",5.1,43,"2013"
"Austin-Round Rock, TX Metropolitan Statistical Area",5.2,48,"2013"
"Ithaca, NY Metropolitan Statistical Area",5.2,48,"2013"
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",5.2,48,"2013"
"Missoula, MT Metropolitan Statistical Area",5.2,48,"2013"
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",5.3,52,"2013"
"State College, PA Metropolitan Statistical Area",5.3,52,"2013"
"Tulsa, OK Metropolitan Statistical Area",5.3,52,"2013"
"Victoria, TX Metropolitan Statistical Area",5.3,52,"2013"
"Abilene, TX Metropolitan Statistical Area",5.4,56,"2013"
"Idaho Falls, ID Metropolitan Statistical Area",5.4,56,"2013"
"Lafayette, LA Metropolitan Statistical Area",5.4,56,"2013"
"Boulder, CO Metropolitan Statistical Area",5.5,59,"2013"
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",5.5,59,"2013"
"Jefferson City, MO Metropolitan Statistical Area",5.5,59,"2013"
"Lewiston, ID-WA Metropolitan Statistical Area",5.5,59,"2013"
"Portland-South Portland, ME Metropolitan NECTA",5.5,59,"2013"
"St. George, UT Metropolitan Statistical Area",5.5,59,"2013"
"Staunton-Waynesboro, VA Metropolitan Statistical Area",5.5,59,"2013"
"Santa Fe, NM Metropolitan Statistical Area",5.6,66,"2013"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.6,66,"2013"
"Winchester, VA-WV Metropolitan Statistical Area",5.6,66,"2013"
"Corvallis, OR Metropolitan Statistical Area",5.7,69,"2013"
"Harrisonburg, VA Metropolitan Statistical Area",5.7,69,"2013"
"Ann Arbor, MI Metropolitan Statistical Area",5.8,71,"2013"
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",5.8,71,"2013"
"Fort Collins, CO Metropolitan Statistical Area",5.8,71,"2013"
"Gainesville, FL Metropolitan Statistical Area",5.8,71,"2013"
"Lawton, OK Metropolitan Statistical Area",5.8,71,"2013"
"Pocatello, ID Metropolitan Statistical Area",5.8,71,"2013"
"Roanoke, VA Metropolitan Statistical Area",5.8,71,"2013"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",5.8,71,"2013"
"Springfield, MO Metropolitan Statistical Area",5.8,71,"2013"
"Topeka, KS Metropolitan Statistical Area",5.8,71,"2013"
"Wichita Falls, TX Metropolitan Statistical Area",5.8,71,"2013"
"Anchorage, AK Metropolitan Statistical Area",5.9,82,"2013"
"Appleton, WI Metropolitan Statistical Area",5.9,82,"2013"
"Auburn-Opelika, AL Metropolitan Statistical Area",5.9,82,"2013"
"Boise City, ID Metropolitan Statistical Area",5.9,82,"2013"
"Fairbanks, AK Metropolitan Statistical Area",5.9,82,"2013"
"Gettysburg, PA Metropolitan Statistical Area",5.9,82,"2013"
"Joplin, MO Metropolitan Statistical Area",5.9,82,"2013"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.9,82,"2013"
"California-Lexington Park, MD Metropolitan Statistical Area",6,90,"2013"
"Columbus, IN Metropolitan Statistical Area",6,90,"2013"
"Eau Claire, WI Metropolitan Statistical Area",6,90,"2013"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",6,90,"2013"
"Lancaster, PA Metropolitan Statistical Area",6,90,"2013"
"Lexington-Fayette, KY Metropolitan Statistical Area",6,90,"2013"
"St. Joseph, MO-KS Metropolitan Statistical Area",6,90,"2013"
"Wichita, KS Metropolitan Statistical Area",6,90,"2013"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",6.1,98,"2013"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",6.1,98,"2013"
"Duluth, MN-WI Metropolitan Statistical Area",6.1,98,"2013"
"Fond du Lac, WI Metropolitan Statistical Area",6.1,98,"2013"
"Laredo, TX Metropolitan Statistical Area",6.1,98,"2013"
"Longview, TX Metropolitan Statistical Area",6.1,98,"2013"
"Richmond, VA Metropolitan Statistical Area",6.1,98,"2013"
"Sheboygan, WI Metropolitan Statistical Area",6.1,98,"2013"
"Bangor, ME Metropolitan NECTA",6.2,106,"2013"
"Baton Rouge, LA Metropolitan Statistical Area",6.2,106,"2013"
"Kansas City, MO-KS Metropolitan Statistical Area",6.2,106,"2013"
"Lebanon, PA Metropolitan Statistical Area",6.2,106,"2013"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",6.2,106,"2013"
"Waco, TX Metropolitan Statistical Area",6.2,106,"2013"
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",6.3,112,"2013"
"Birmingham-Hoover, AL Metropolitan Statistical Area",6.3,112,"2013"
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",6.3,112,"2013"
"Cape Girardeau, MO-IL Metropolitan Statistical Area",6.3,112,"2013"
"Charleston-North Charleston, SC Metropolitan Statistical Area",6.3,112,"2013"
"Corpus Christi, TX Metropolitan Statistical Area",6.3,112,"2013"
"Danbury, CT Metropolitan NECTA",6.3,112,"2013"
"Durham-Chapel Hill, NC Metropolitan Statistical Area",6.3,112,"2013"
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",6.3,112,"2013"
"Huntsville, AL Metropolitan Statistical Area",6.3,112,"2013"
"Lynchburg, VA Metropolitan Statistical Area",6.3,112,"2013"
"Raleigh, NC Metropolitan Statistical Area",6.3,112,"2013"
"Sherman-Denison, TX Metropolitan Statistical Area",6.3,112,"2013"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",6.3,112,"2013"
"Asheville, NC Metropolitan Statistical Area",6.4,126,"2013"
"Charleston, WV Metropolitan Statistical Area",6.4,126,"2013"
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",6.4,126,"2013"
"Green Bay, WI Metropolitan Statistical Area",6.4,126,"2013"
"Lake Charles, LA Metropolitan Statistical Area",6.4,126,"2013"
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",6.4,126,"2013"
"Oshkosh-Neenah, WI Metropolitan Statistical Area",6.4,126,"2013"
"Parkersburg-Vienna, WV Metropolitan Statistical Area",6.4,126,"2013"
"Tallahassee, FL Metropolitan Statistical Area",6.4,126,"2013"
"Columbus, OH Metropolitan Statistical Area",6.5,135,"2013"
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",6.5,135,"2013"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",6.5,135,"2013"
"Tyler, TX Metropolitan Statistical Area",6.5,135,"2013"
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",6.6,139,"2013"
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",6.6,139,"2013"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",6.6,139,"2013"
"Greeley, CO Metropolitan Statistical Area",6.6,139,"2013"
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",6.6,139,"2013"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.6,139,"2013"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",6.6,139,"2013"
"Bloomington, IL Metropolitan Statistical Area",6.7,146,"2013"
"Columbia, SC Metropolitan Statistical Area",6.7,146,"2013"
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",6.7,146,"2013"
