"metropolitan_area","rate","rank","year"
"Salt Lake City, UT Metropolitan Statistical Area",4.4,1,"2013"
"Oklahoma City, OK Metropolitan Statistical Area",4.6,2,"2013"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4.8,3,"2013"
"Austin-Round Rock, TX Metropolitan Statistical Area",5.2,4,"2013"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.6,5,"2013"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",5.8,6,"2013"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.9,7,"2013"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",6,8,"2013"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",6.1,9,"2013"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",6.1,9,"2013"
"Richmond, VA Metropolitan Statistical Area",6.1,9,"2013"
"Kansas City, MO-KS Metropolitan Statistical Area",6.2,12,"2013"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",6.2,12,"2013"
"Birmingham-Hoover, AL Metropolitan Statistical Area",6.3,14,"2013"
"Raleigh, NC Metropolitan Statistical Area",6.3,14,"2013"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",6.3,14,"2013"
"Columbus, OH Metropolitan Statistical Area",6.5,17,"2013"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",6.5,17,"2013"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",6.6,19,"2013"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.6,19,"2013"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",6.6,19,"2013"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",6.7,22,"2013"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6.8,23,"2013"
"Cleveland-Elyria, OH Metropolitan Statistical Area",6.8,23,"2013"
"Pittsburgh, PA Metropolitan Statistical Area",6.8,23,"2013"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6.9,26,"2013"
"Jacksonville, FL Metropolitan Statistical Area",7,27,"2013"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",7,27,"2013"
"Rochester, NY Metropolitan Statistical Area",7,27,"2013"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",7.1,30,"2013"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",7.1,30,"2013"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",7.1,30,"2013"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",7.2,33,"2013"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",7.2,33,"2013"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",7.3,35,"2013"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",7.4,36,"2013"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",7.6,37,"2013"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",7.7,38,"2013"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",7.8,39,"2013"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",7.8,39,"2013"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",7.8,39,"2013"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",7.9,42,"2013"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",7.9,42,"2013"
"Memphis, TN-MS-AR Metropolitan Statistical Area",8.5,44,"2013"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",8.7,45,"2013"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",9,46,"2013"
"Providence-Warwick, RI-MA Metropolitan NECTA",9,46,"2013"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",9.1,48,"2013"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",9.7,49,"2013"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",9.7,49,"2013"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",9.8,51,"2013"
"Footnotes",NA,NA,"2013"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2013"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2013"
"Salt Lake City, UT Metropolitan Statistical Area",3.7,1,"2014"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",4,2,"2014"
